2025-09-22 20:30:25.502907 INFO::Writing function arguments to log file
2025-09-22 20:30:25.504356 DEBUG::Function arguments
2025-09-22 20:30:25.505092 DEBUG::Output folder: maaslin2_outputE975
2025-09-22 20:30:25.505675 DEBUG::Min Abundance: 0.000000
2025-09-22 20:30:25.506173 DEBUG::Min Prevalence: 0.000000
2025-09-22 20:30:25.506618 DEBUG::Normalization: NONE
2025-09-22 20:30:25.507058 DEBUG::Transform: LOG
2025-09-22 20:30:25.507535 DEBUG::Analysis method: LM
2025-09-22 20:30:25.508062 DEBUG::Max significance: 0.250000
2025-09-22 20:30:25.508598 DEBUG::Random effects: pt_identifier
2025-09-22 20:30:25.509145 DEBUG::Fixed effects: group,week
2025-09-22 20:30:25.509723 DEBUG::Correction method: BH
2025-09-22 20:30:25.511735 DEBUG::Standardize: FALSE
2025-09-22 20:30:25.512818 DEBUG::Cores: 1
2025-09-22 20:30:25.51349 INFO::Verifying options selected are valid
2025-09-22 20:30:25.514729 INFO::Determining format of input files
2025-09-22 20:30:25.515831 INFO::Input format is data samples as columns and metadata samples as rows
2025-09-22 20:30:25.51837 DEBUG::Transformed data so samples are rows
2025-09-22 20:30:25.520623 DEBUG::A total of 48 samples were found in both the data and metadata
2025-09-22 20:30:25.521262 DEBUG::Reordering data/metadata to use same sample ordering
2025-09-22 20:30:29.747867 INFO::Fitting model to feature number 96, Eubacteriales_Family_XIII_Incertae_Sedis_unclassified
2025-09-22 20:30:29.788709 INFO::Fitting model to feature number 97, Eubacteriales_unclassified
2025-09-22 20:30:29.830689 INFO::Fitting model to feature number 98, Eubacterium
2025-09-22 20:30:29.87752 INFO::Fitting model to feature number 99, Evtepia
2025-09-22 20:30:29.914761 INFO::Fitting model to feature number 100, Facklamia
2025-09-22 20:30:29.953022 INFO::Fitting model to feature number 101, Faecalibacillus
2025-09-22 20:30:29.993318 INFO::Fitting model to feature number 102, Faecalibacterium
2025-09-22 20:30:30.033262 INFO::Fitting model to feature number 103, Faecalicatena
2025-09-22 20:30:30.072178 INFO::Fitting model to feature number 104, Faecalicoccus
2025-09-22 20:30:30.125905 INFO::Fitting model to feature number 105, Faecalimonas
2025-09-22 20:30:30.16505 INFO::Fitting model to feature number 106, Feifania
2025-09-22 20:30:30.216422 INFO::Fitting model to feature number 107, Finegoldia
2025-09-22 20:30:30.252577 INFO::Fitting model to feature number 108, Flavonifractor
2025-09-22 20:30:30.29059 INFO::Fitting model to feature number 109, Fournierella
2025-09-22 20:30:30.332898 INFO::Fitting model to feature number 110, Fumia
2025-09-22 20:30:30.374509 INFO::Fitting model to feature number 111, Fusicatenibacter
2025-09-22 20:30:30.415077 INFO::Fitting model to feature number 112, GGB10692
2025-09-22 20:30:30.452679 INFO::Fitting model to feature number 113, GGB1093
2025-09-22 20:30:30.505923 INFO::Fitting model to feature number 114, GGB1215
2025-09-22 20:30:30.554078 INFO::Fitting model to feature number 115, GGB1247
2025-09-22 20:30:30.612088 INFO::Fitting model to feature number 116, GGB1266
2025-09-22 20:30:30.651154 INFO::Fitting model to feature number 117, GGB12693
2025-09-22 20:30:30.687017 INFO::Fitting model to feature number 118, GGB12785
2025-09-22 20:30:30.731774 INFO::Fitting model to feature number 119, GGB12788
2025-09-22 20:30:30.767988 INFO::Fitting model to feature number 120, GGB12794
2025-09-22 20:30:30.818956 INFO::Fitting model to feature number 121, GGB12798
2025-09-22 20:30:30.867087 INFO::Fitting model to feature number 122, GGB13283
2025-09-22 20:30:30.904995 INFO::Fitting model to feature number 123, GGB1331
2025-09-22 20:30:30.961675 INFO::Fitting model to feature number 124, GGB13404
2025-09-22 20:30:30.999502 INFO::Fitting model to feature number 125, GGB13489
2025-09-22 20:30:31.039803 INFO::Fitting model to feature number 126, GGB13493
2025-09-22 20:30:31.079479 INFO::Fitting model to feature number 127, GGB13818
2025-09-22 20:30:31.11936 INFO::Fitting model to feature number 128, GGB1420
2025-09-22 20:30:31.217113 INFO::Fitting model to feature number 129, GGB1425
2025-09-22 20:30:31.255146 INFO::Fitting model to feature number 130, GGB1455
2025-09-22 20:30:31.29599 INFO::Fitting model to feature number 131, GGB1456
2025-09-22 20:30:31.334448 INFO::Fitting model to feature number 132, GGB1458
2025-09-22 20:30:31.382926 INFO::Fitting model to feature number 133, GGB1497
2025-09-22 20:30:31.41909 INFO::Fitting model to feature number 134, GGB1505
2025-09-22 20:30:31.458102 INFO::Fitting model to feature number 135, GGB1538
2025-09-22 20:30:31.495704 INFO::Fitting model to feature number 136, GGB1567
2025-09-22 20:30:31.549558 INFO::Fitting model to feature number 137, GGB1568
2025-09-22 20:30:31.589264 INFO::Fitting model to feature number 138, GGB1582
2025-09-22 20:30:31.630889 INFO::Fitting model to feature number 139, GGB1627
2025-09-22 20:30:31.667841 INFO::Fitting model to feature number 140, GGB1629
2025-09-22 20:30:31.718962 INFO::Fitting model to feature number 141, GGB1662
2025-09-22 20:30:31.756731 INFO::Fitting model to feature number 142, GGB1690
2025-09-22 20:30:31.797471 INFO::Fitting model to feature number 143, GGB18703
2025-09-22 20:30:31.834296 INFO::Fitting model to feature number 144, GGB2653
2025-09-22 20:30:31.876164 INFO::Fitting model to feature number 145, GGB2657
2025-09-22 20:30:31.92408 INFO::Fitting model to feature number 146, GGB28319
2025-09-22 20:30:31.966357 INFO::Fitting model to feature number 147, GGB28474
2025-09-22 20:30:32.004047 INFO::Fitting model to feature number 148, GGB2848
2025-09-22 20:30:32.044914 INFO::Fitting model to feature number 149, GGB2958
2025-09-22 20:30:32.089326 INFO::Fitting model to feature number 150, GGB2970
2025-09-22 20:30:32.127557 INFO::Fitting model to feature number 151, GGB2977
2025-09-22 20:30:32.164219 INFO::Fitting model to feature number 152, GGB2980
2025-09-22 20:30:32.201056 INFO::Fitting model to feature number 153, GGB2982
2025-09-22 20:30:32.238162 INFO::Fitting model to feature number 154, GGB2983
2025-09-22 20:30:32.281965 INFO::Fitting model to feature number 155, GGB2987
2025-09-22 20:30:32.332559 INFO::Fitting model to feature number 156, GGB2996
2025-09-22 20:30:32.370642 INFO::Fitting model to feature number 157, GGB2998
2025-09-22 20:30:32.417648 INFO::Fitting model to feature number 158, GGB3001
2025-09-22 20:30:32.457376 INFO::Fitting model to feature number 159, GGB3002
2025-09-22 20:30:32.497779 INFO::Fitting model to feature number 160, GGB3003
2025-09-22 20:30:32.537306 INFO::Fitting model to feature number 161, GGB3005
2025-09-22 20:30:32.575906 INFO::Fitting model to feature number 162, GGB3032
2025-09-22 20:30:32.632131 INFO::Fitting model to feature number 163, GGB3033
2025-09-22 20:30:32.670188 INFO::Fitting model to feature number 164, GGB3034
2025-09-22 20:30:32.706946 INFO::Fitting model to feature number 165, GGB3061
2025-09-22 20:30:32.74952 INFO::Fitting model to feature number 166, GGB3109
2025-09-22 20:30:32.803238 INFO::Fitting model to feature number 167, GGB3118
2025-09-22 20:30:32.840673 INFO::Fitting model to feature number 168, GGB31234
2025-09-22 20:30:32.880392 INFO::Fitting model to feature number 169, GGB3124
2025-09-22 20:30:32.925227 INFO::Fitting model to feature number 170, GGB3126
2025-09-22 20:30:32.973167 INFO::Fitting model to feature number 171, GGB3140
2025-09-22 20:30:33.01335 INFO::Fitting model to feature number 172, GGB3141
2025-09-22 20:30:33.051268 INFO::Fitting model to feature number 173, GGB3142
2025-09-22 20:30:33.090218 INFO::Fitting model to feature number 174, GGB3160
2025-09-22 20:30:33.134971 INFO::Fitting model to feature number 175, GGB3175
2025-09-22 20:30:33.170996 INFO::Fitting model to feature number 176, GGB3213
2025-09-22 20:30:33.209465 INFO::Fitting model to feature number 177, GGB32387
2025-09-22 20:30:33.249364 INFO::Fitting model to feature number 178, GGB3256
2025-09-22 20:30:33.304641 INFO::Fitting model to feature number 179, GGB3260
2025-09-22 20:30:33.34628 INFO::Fitting model to feature number 180, GGB3277
2025-09-22 20:30:33.383091 INFO::Fitting model to feature number 181, GGB3278
2025-09-22 20:30:33.418102 INFO::Fitting model to feature number 182, GGB3286
2025-09-22 20:30:33.455897 INFO::Fitting model to feature number 183, GGB3287
2025-09-22 20:30:33.503239 INFO::Fitting model to feature number 184, GGB3289
2025-09-22 20:30:33.545097 INFO::Fitting model to feature number 185, GGB32900
2025-09-22 20:30:33.580053 INFO::Fitting model to feature number 186, GGB3303
2025-09-22 20:30:33.617866 INFO::Fitting model to feature number 187, GGB3304
2025-09-22 20:30:33.655559 INFO::Fitting model to feature number 188, GGB3305
2025-09-22 20:30:33.713077 INFO::Fitting model to feature number 189, GGB3306
2025-09-22 20:30:33.753426 INFO::Fitting model to feature number 190, GGB3321
2025-09-22 20:30:33.790286 INFO::Fitting model to feature number 191, GGB3325
2025-09-22 20:30:33.835051 INFO::Fitting model to feature number 192, GGB3345
2025-09-22 20:30:33.877324 INFO::Fitting model to feature number 193, GGB33469
2025-09-22 20:30:33.916518 INFO::Fitting model to feature number 194, GGB3351
2025-09-22 20:30:33.957115 INFO::Fitting model to feature number 195, GGB33512
2025-09-22 20:30:33.999262 INFO::Fitting model to feature number 196, GGB3352
2025-09-22 20:30:34.039434 INFO::Fitting model to feature number 197, GGB33539
2025-09-22 20:30:34.091028 INFO::Fitting model to feature number 198, GGB33544
2025-09-22 20:30:34.135669 INFO::Fitting model to feature number 199, GGB33586
2025-09-22 20:30:34.17346 INFO::Fitting model to feature number 200, GGB3363
2025-09-22 20:30:34.229202 INFO::Fitting model to feature number 201, GGB34197
2025-09-22 20:30:34.268296 INFO::Fitting model to feature number 202, GGB34228
2025-09-22 20:30:34.3133 INFO::Fitting model to feature number 203, GGB34231
2025-09-22 20:30:34.352448 INFO::Fitting model to feature number 204, GGB3429
2025-09-22 20:30:34.388921 INFO::Fitting model to feature number 205, GGB3433
2025-09-22 20:30:34.450273 INFO::Fitting model to feature number 206, GGB3444
2025-09-22 20:30:34.489887 INFO::Fitting model to feature number 207, GGB3446
2025-09-22 20:30:34.527061 INFO::Fitting model to feature number 208, GGB3449
2025-09-22 20:30:34.573041 INFO::Fitting model to feature number 209, GGB34540
2025-09-22 20:30:34.611834 INFO::Fitting model to feature number 210, GGB3475
2025-09-22 20:30:34.650622 INFO::Fitting model to feature number 211, GGB3478
2025-09-22 20:30:34.690423 INFO::Fitting model to feature number 212, GGB34797
2025-09-22 20:30:34.727496 INFO::Fitting model to feature number 213, GGB3480
2025-09-22 20:30:34.779717 INFO::Fitting model to feature number 214, GGB3486
2025-09-22 20:30:34.817987 INFO::Fitting model to feature number 215, GGB3490
2025-09-22 20:30:34.855947 INFO::Fitting model to feature number 216, GGB34900
2025-09-22 20:30:34.89348 INFO::Fitting model to feature number 217, GGB3491
2025-09-22 20:30:34.939672 INFO::Fitting model to feature number 218, GGB3496
2025-09-22 20:30:34.979308 INFO::Fitting model to feature number 219, GGB35068
2025-09-22 20:30:35.015847 INFO::Fitting model to feature number 220, GGB3510
2025-09-22 20:30:35.052452 INFO::Fitting model to feature number 221, GGB3511
2025-09-22 20:30:35.103132 INFO::Fitting model to feature number 222, GGB3519
2025-09-22 20:30:35.146791 INFO::Fitting model to feature number 223, GGB3534
2025-09-22 20:30:35.184003 INFO::Fitting model to feature number 224, GGB3537
2025-09-22 20:30:35.219498 INFO::Fitting model to feature number 225, GGB3538
2025-09-22 20:30:35.269969 INFO::Fitting model to feature number 226, GGB3548
2025-09-22 20:30:35.313562 INFO::Fitting model to feature number 227, GGB3550
2025-09-22 20:30:35.350032 INFO::Fitting model to feature number 228, GGB35551
2025-09-22 20:30:35.386325 INFO::Fitting model to feature number 229, GGB35597
2025-09-22 20:30:35.42311 INFO::Fitting model to feature number 230, GGB3569
2025-09-22 20:30:35.482598 INFO::Fitting model to feature number 231, GGB3576
2025-09-22 20:30:35.519691 INFO::Fitting model to feature number 232, GGB3583
2025-09-22 20:30:35.55784 INFO::Fitting model to feature number 233, GGB3585
2025-09-22 20:30:35.59553 INFO::Fitting model to feature number 234, GGB3588
2025-09-22 20:30:35.641514 INFO::Fitting model to feature number 235, GGB3593
2025-09-22 20:30:35.678959 INFO::Fitting model to feature number 236, GGB3602
2025-09-22 20:30:35.714786 INFO::Fitting model to feature number 237, GGB3603
2025-09-22 20:30:35.755193 INFO::Fitting model to feature number 238, GGB3612
2025-09-22 20:30:35.793806 INFO::Fitting model to feature number 239, GGB3616
2025-09-22 20:30:35.843697 INFO::Fitting model to feature number 240, GGB3617
2025-09-22 20:30:35.887599 INFO::Fitting model to feature number 241, GGB3619
2025-09-22 20:30:35.920796 INFO::Fitting model to feature number 242, GGB3626
2025-09-22 20:30:35.967409 INFO::Fitting model to feature number 243, GGB36267
2025-09-22 20:30:36.005119 INFO::Fitting model to feature number 244, GGB3627
2025-09-22 20:30:36.039994 INFO::Fitting model to feature number 245, GGB36331
2025-09-22 20:30:36.077043 INFO::Fitting model to feature number 246, GGB3637
2025-09-22 20:30:36.116645 INFO::Fitting model to feature number 247, GGB3653
2025-09-22 20:30:36.152026 INFO::Fitting model to feature number 248, GGB36599
2025-09-22 20:30:36.202448 INFO::Fitting model to feature number 249, GGB3677
2025-09-22 20:30:36.247791 INFO::Fitting model to feature number 250, GGB3678
2025-09-22 20:30:36.28365 INFO::Fitting model to feature number 251, GGB3722
2025-09-22 20:30:36.333365 INFO::Fitting model to feature number 252, GGB3730
2025-09-22 20:30:36.369654 INFO::Fitting model to feature number 253, GGB3740
2025-09-22 20:30:36.407555 INFO::Fitting model to feature number 254, GGB3816
2025-09-22 20:30:36.447982 INFO::Fitting model to feature number 255, GGB3817
2025-09-22 20:30:36.488046 INFO::Fitting model to feature number 256, GGB3818
2025-09-22 20:30:36.53926 INFO::Fitting model to feature number 257, GGB3819
2025-09-22 20:30:36.582819 INFO::Fitting model to feature number 258, GGB38239
2025-09-22 20:30:36.61922 INFO::Fitting model to feature number 259, GGB3828
2025-09-22 20:30:36.669935 INFO::Fitting model to feature number 260, GGB3859
2025-09-22 20:30:36.707889 INFO::Fitting model to feature number 261, GGB38744
2025-09-22 20:30:36.747633 INFO::Fitting model to feature number 262, GGB3883
2025-09-22 20:30:36.786533 INFO::Fitting model to feature number 263, GGB38873
2025-09-22 20:30:36.82459 INFO::Fitting model to feature number 264, GGB3892
2025-09-22 20:30:36.88039 INFO::Fitting model to feature number 265, GGB38987
2025-09-22 20:30:36.923653 INFO::Fitting model to feature number 266, GGB39037
2025-09-22 20:30:36.96461 INFO::Fitting model to feature number 267, GGB40351
2025-09-22 20:30:37.00627 INFO::Fitting model to feature number 268, GGB41366
2025-09-22 20:30:37.055236 INFO::Fitting model to feature number 269, GGB41458
2025-09-22 20:30:37.095829 INFO::Fitting model to feature number 270, GGB41473
2025-09-22 20:30:37.132561 INFO::Fitting model to feature number 271, GGB42378
2025-09-22 20:30:37.170886 INFO::Fitting model to feature number 272, GGB42389
2025-09-22 20:30:37.222872 INFO::Fitting model to feature number 273, GGB4260
2025-09-22 20:30:37.268912 INFO::Fitting model to feature number 274, GGB4263
2025-09-22 20:30:37.305844 INFO::Fitting model to feature number 275, GGB42639
2025-09-22 20:30:37.34912 INFO::Fitting model to feature number 276, GGB4266
2025-09-22 20:30:37.396012 INFO::Fitting model to feature number 277, GGB42689
2025-09-22 20:30:37.43438 INFO::Fitting model to feature number 278, GGB4277
2025-09-22 20:30:37.471543 INFO::Fitting model to feature number 279, GGB43675
2025-09-22 20:30:37.510941 INFO::Fitting model to feature number 280, GGB44201
2025-09-22 20:30:37.56835 INFO::Fitting model to feature number 281, GGB4456
2025-09-22 20:30:37.616905 INFO::Fitting model to feature number 282, GGB4533
2025-09-22 20:30:37.656925 INFO::Fitting model to feature number 283, GGB4535
2025-09-22 20:30:37.728453 INFO::Fitting model to feature number 284, GGB45432
2025-09-22 20:30:37.778406 INFO::Fitting model to feature number 285, GGB45461
2025-09-22 20:30:37.826393 INFO::Fitting model to feature number 286, GGB4549
2025-09-22 20:30:37.866191 INFO::Fitting model to feature number 287, GGB45491
2025-09-22 20:30:37.906128 INFO::Fitting model to feature number 288, GGB45495
2025-09-22 20:30:37.945499 INFO::Fitting model to feature number 289, GGB45497
2025-09-22 20:30:38.002867 INFO::Fitting model to feature number 290, GGB4550
2025-09-22 20:30:38.04081 INFO::Fitting model to feature number 291, GGB45503
2025-09-22 20:30:38.080668 INFO::Fitting model to feature number 292, GGB4552
2025-09-22 20:30:38.117705 INFO::Fitting model to feature number 293, GGB45537
2025-09-22 20:30:38.186777 INFO::Fitting model to feature number 294, GGB45540
2025-09-22 20:30:38.226278 INFO::Fitting model to feature number 295, GGB4555
2025-09-22 20:30:38.267375 INFO::Fitting model to feature number 296, GGB4558
2025-09-22 20:30:38.326524 INFO::Fitting model to feature number 297, GGB4559
2025-09-22 20:30:38.37129 INFO::Fitting model to feature number 298, GGB45596
2025-09-22 20:30:38.413723 INFO::Fitting model to feature number 299, GGB45599
2025-09-22 20:30:38.453385 INFO::Fitting model to feature number 300, GGB45613
2025-09-22 20:30:38.497645 INFO::Fitting model to feature number 301, GGB45620
2025-09-22 20:30:38.546492 INFO::Fitting model to feature number 302, GGB4566
2025-09-22 20:30:38.586816 INFO::Fitting model to feature number 303, GGB4567
2025-09-22 20:30:38.622398 INFO::Fitting model to feature number 304, GGB4569
2025-09-22 20:30:38.662973 INFO::Fitting model to feature number 305, GGB4571
2025-09-22 20:30:38.72132 INFO::Fitting model to feature number 306, GGB4578
2025-09-22 20:30:38.764465 INFO::Fitting model to feature number 307, GGB4580
2025-09-22 20:30:38.806889 INFO::Fitting model to feature number 308, GGB4583
2025-09-22 20:30:38.852564 INFO::Fitting model to feature number 309, GGB4584
2025-09-22 20:30:38.890283 INFO::Fitting model to feature number 310, GGB4585
2025-09-22 20:30:38.940825 INFO::Fitting model to feature number 311, GGB4586
2025-09-22 20:30:38.978407 INFO::Fitting model to feature number 312, GGB4588
